IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.17.135.28,4,4,0.00,132.06,0.00
104.17.82.28,4,4,0.00,132.16,0.00
104.17.89.28,4,4,0.00,132.19,0.00
104.17.81.28,4,4,0.00,132.19,0.00
104.17.130.28,4,4,0.00,132.33,0.00
104.17.88.28,4,4,0.00,132.39,0.00
104.17.60.28,4,4,0.00,132.42,0.00
104.17.32.28,4,4,0.00,132.45,0.00
104.17.42.28,4,4,0.00,132.46,0.00
104.17.131.28,4,4,0.00,132.57,0.00
104.17.128.28,4,4,0.00,132.57,0.00
104.17.84.28,4,4,0.00,132.63,0.00
104.17.85.28,4,4,0.00,132.63,0.00
104.17.158.28,4,4,0.00,132.72,0.00
104.18.251.28,4,4,0.00,132.78,0.00
104.17.133.28,4,4,0.00,132.81,0.00
104.17.66.28,4,4,0.00,132.87,0.00
104.17.86.28,4,4,0.00,132.88,0.00
104.17.74.28,4,4,0.00,132.88,0.00
104.17.155.28,4,4,0.00,132.97,0.00
104.17.144.28,4,4,0.00,133.06,0.00
104.17.138.28,4,4,0.00,133.07,0.00
104.17.58.28,4,4,0.00,133.14,0.00
104.17.59.28,4,4,0.00,133.14,0.00
104.17.54.28,4,4,0.00,133.19,0.00
104.17.154.28,4,4,0.00,133.22,0.00
104.17.139.28,4,4,0.00,133.32,0.00
104.17.29.28,4,4,0.00,133.36,0.00
104.17.65.28,4,4,0.00,133.37,0.00
104.17.73.28,4,4,0.00,133.37,0.00
104.17.78.28,4,4,0.00,133.41,0.00
104.17.31.28,4,4,0.00,133.45,0.00
104.17.136.28,4,4,0.00,133.56,0.00
104.17.127.28,4,4,0.00,133.56,0.00
104.17.116.28,4,4,0.00,133.57,0.00
104.17.72.28,4,4,0.00,133.62,0.00
104.17.62.28,4,4,0.00,133.62,0.00
104.17.56.28,4,4,0.00,133.62,0.00
104.17.37.28,4,4,0.00,133.70,0.00
104.17.140.28,4,4,0.00,133.82,0.00
104.17.75.28,4,4,0.00,133.90,0.00
104.17.50.28,4,4,0.00,133.94,0.00
104.17.152.28,4,4,0.00,133.96,0.00
104.17.129.28,4,4,0.00,134.07,0.00
104.17.147.28,4,4,0.00,134.07,0.00
104.17.118.28,4,4,0.00,134.07,0.00
104.17.123.28,4,4,0.00,134.08,0.00
104.17.55.28,4,4,0.00,134.13,0.00
104.17.57.28,4,4,0.00,134.13,0.00
104.17.53.28,4,4,0.00,134.16,0.00
104.17.36.28,4,4,0.00,134.21,0.00
104.17.126.28,4,4,0.00,134.31,0.00
104.17.120.28,4,4,0.00,134.32,0.00
104.17.122.28,4,4,0.00,134.57,0.00
104.17.114.28,4,4,0.00,134.57,0.00
104.17.67.28,4,4,0.00,134.61,0.00
104.17.69.28,4,4,0.00,134.65,0.00
104.17.159.28,4,4,0.00,134.75,0.00
104.17.119.28,4,4,0.00,134.80,0.00
104.17.108.28,4,4,0.00,134.82,0.00
104.17.124.28,4,4,0.00,134.82,0.00
104.17.27.28,4,4,0.00,134.86,0.00
104.17.30.28,4,4,0.00,134.94,0.00
104.16.248.28,4,4,0.00,135.03,0.00
104.17.101.28,4,4,0.00,135.06,0.00
104.17.40.28,4,4,0.00,135.17,0.00
104.17.49.28,4,4,0.00,135.18,0.00
104.17.109.28,4,4,0.00,135.32,0.00
104.17.51.28,4,4,0.00,135.41,0.00
104.18.243.28,4,4,0.00,135.47,0.00
104.17.153.28,4,4,0.00,135.50,0.00
104.17.125.28,4,4,0.00,135.56,0.00
104.17.115.28,4,4,0.00,135.57,0.00
104.17.117.28,4,4,0.00,135.57,0.00
104.17.0.28,4,4,0.00,135.78,0.00
104.17.113.28,4,4,0.00,135.81,0.00
104.17.121.28,4,4,0.00,135.81,0.00
104.17.99.28,4,4,0.00,135.81,0.00
104.17.48.28,4,4,0.00,135.88,0.00
104.17.43.28,4,4,0.00,135.90,0.00
104.16.245.28,4,4,0.00,136.02,0.00
104.16.251.28,4,4,0.00,136.03,0.00
104.17.1.28,4,4,0.00,136.03,0.00
104.17.102.28,4,4,0.00,136.05,0.00
104.17.110.28,4,4,0.00,136.06,0.00
104.17.47.28,4,4,0.00,136.13,0.00
104.17.38.28,4,4,0.00,136.15,0.00
104.18.248.28,4,4,0.00,136.20,0.00
104.17.149.28,4,4,0.00,136.24,0.00
104.16.247.28,4,4,0.00,136.28,0.00
104.17.52.28,4,4,0.00,136.40,0.00
104.17.151.28,4,4,0.00,136.49,0.00
104.17.112.28,4,4,0.00,136.54,0.00
104.17.39.28,4,4,0.00,136.64,0.00
104.17.2.28,4,4,0.00,136.78,0.00
104.17.24.28,4,4,0.00,136.84,0.00
104.16.240.28,4,4,0.00,137.01,0.00
104.16.255.28,4,4,0.00,137.03,0.00
104.16.234.28,4,4,0.00,137.03,0.00
104.16.233.28,4,4,0.00,137.03,0.00
104.16.249.28,4,4,0.00,137.03,0.00
104.17.28.28,4,4,0.00,137.11,0.00
104.16.238.28,4,4,0.00,137.26,0.00
104.17.111.28,4,4,0.00,137.31,0.00
104.16.253.28,4,4,0.00,137.52,0.00
104.17.107.28,4,4,0.00,137.56,0.00
104.16.239.28,4,4,0.00,137.76,0.00
104.17.26.28,4,4,0.00,137.86,0.00
104.17.103.28,4,4,0.00,138.06,0.00
104.17.105.28,4,4,0.00,138.06,0.00
104.16.236.28,4,4,0.00,138.26,0.00
104.16.241.28,4,4,0.00,138.26,0.00
104.16.237.28,4,4,0.00,138.53,0.00
104.16.246.28,4,4,0.00,138.88,0.00
104.17.35.28,4,4,0.00,139.13,0.00
104.16.230.28,4,4,0.00,139.27,0.00
104.16.232.28,4,4,0.00,139.52,0.00
104.16.243.28,4,4,0.00,139.53,0.00
104.16.254.28,4,4,0.00,140.52,0.00
104.16.252.28,4,4,0.00,140.53,0.00
104.17.3.28,4,4,0.00,141.02,0.00
104.16.175.28,4,4,0.00,141.18,0.00
104.18.246.28,4,4,0.00,141.32,0.00
104.16.225.28,4,4,0.00,141.50,0.00
104.16.231.28,4,4,0.00,141.50,0.00
104.16.242.28,4,4,0.00,141.52,0.00
104.17.7.28,4,4,0.00,141.67,0.00
104.16.171.28,4,4,0.00,142.17,0.00
104.16.170.28,4,4,0.00,142.18,0.00
104.16.244.28,4,4,0.00,142.26,0.00
104.16.173.28,4,4,0.00,142.67,0.00
104.16.228.28,4,4,0.00,143.27,0.00
104.16.229.28,4,4,0.00,143.27,0.00
104.16.168.28,4,4,0.00,143.31,0.00
104.16.169.28,4,4,0.00,143.42,0.00
104.16.174.28,4,4,0.00,143.68,0.00
104.16.224.28,4,4,0.00,143.72,0.00
104.16.172.28,4,4,0.00,144.34,0.00
104.18.247.28,4,4,0.00,145.93,0.00
104.18.244.28,4,4,0.00,146.13,0.00
104.17.97.28,4,4,0.00,147.09,0.00
104.17.95.28,4,4,0.00,150.33,0.00
104.18.240.28,4,4,0.00,151.77,0.00
104.18.242.28,4,4,0.00,154.27,0.00
104.18.241.28,4,4,0.00,157.37,0.00
